2024-04-15T11:56:28.834Z [INFO]: IND_current_time: 2024-04-15 17:26:28 PM, message: MongoDB connected.
2024-04-15T11:56:42.544Z [INFO]: IND_current_time: 2024-04-15 17:26:42 PM, message: MongoDB connected.
2024-04-15T11:56:43.578Z [INFO]: IND_current_time: 2024-04-15 17:26:43 PM, message: MongoDB connected.
2024-04-15T11:57:10.490Z [INFO]: IND_current_time: 2024-04-15 17:27:10 PM, message: MongoDB connected.
2024-04-15T11:57:19.051Z [INFO]: IND_current_time: 2024-04-15 17:27:19 PM, message: MongoDB connected.
2024-04-15T11:57:19.686Z [INFO]: IND_current_time: 2024-04-15 17:27:19 PM, message: MongoDB connected.
2024-04-15T11:57:37.287Z [INFO]: IND_current_time: 2024-04-15 17:27:37 PM, message: MongoDB connected.
2024-04-15T11:57:38.493Z [INFO]: IND_current_time: 2024-04-15 17:27:38 PM, message: MongoDB connected.
2024-04-15T11:57:43.980Z [INFO]: IND_current_time: 2024-04-15 17:27:43 PM, message: MongoDB connected.
2024-04-15T11:57:44.142Z [INFO]: IND_current_time: 2024-04-15 17:27:44 PM, message: MongoDB connected.
2024-04-15T11:57:51.336Z [INFO]: IND_current_time: 2024-04-15 17:27:51 PM, message: MongoDB connected.
2024-04-15T11:57:51.532Z [INFO]: IND_current_time: 2024-04-15 17:27:51 PM, message: MongoDB connected.
2024-04-15T11:57:57.420Z [INFO]: IND_current_time: 2024-04-15 17:27:57 PM, message: MongoDB connected.
2024-04-15T11:58:03.284Z [INFO]: IND_current_time: 2024-04-15 17:28:03 PM, message: MongoDB connected.
2024-04-15T11:58:03.437Z [INFO]: IND_current_time: 2024-04-15 17:28:03 PM, message: MongoDB connected.
2024-04-15T11:58:06.164Z [INFO]: IND_current_time: 2024-04-15 17:28:06 PM, message: MongoDB connected.
2024-04-15T11:58:06.173Z [INFO]: IND_current_time: 2024-04-15 17:28:06 PM, message: MongoDB connected.
2024-04-15T11:58:10.067Z [INFO]: IND_current_time: 2024-04-15 17:28:10 PM, message: MongoDB connected.
2024-04-15T11:58:11.837Z [INFO]: IND_current_time: 2024-04-15 17:28:11 PM, message: MongoDB connected.
2024-04-15T11:58:13.017Z [INFO]: IND_current_time: 2024-04-15 17:28:13 PM, message: MongoDB connected.
2024-04-15T11:58:13.024Z [INFO]: IND_current_time: 2024-04-15 17:28:13 PM, message: MongoDB connected.
2024-04-15T11:58:15.856Z [INFO]: IND_current_time: 2024-04-15 17:28:15 PM, message: MongoDB connected.
2024-04-15T11:58:16.004Z [INFO]: IND_current_time: 2024-04-15 17:28:16 PM, message: MongoDB connected.
2024-04-15T11:58:20.176Z [INFO]: IND_current_time: 2024-04-15 17:28:20 PM, message: MongoDB connected.
2024-04-15T11:58:20.181Z [INFO]: IND_current_time: 2024-04-15 17:28:20 PM, message: MongoDB connected.
2024-04-15T11:58:21.628Z [INFO]: IND_current_time: 2024-04-15 17:28:21 PM, message: MongoDB connected.
2024-04-15T11:58:32.392Z [INFO]: IND_current_time: 2024-04-15 17:28:32 PM, message: MongoDB connected.
2024-04-15T11:58:34.370Z [INFO]: IND_current_time: 2024-04-15 17:28:34 PM, message: MongoDB connected.
2024-04-15T11:58:51.151Z [INFO]: IND_current_time: 2024-04-15 17:28:51 PM, message: MongoDB connected.
2024-04-15T11:58:55.461Z [INFO]: IND_current_time: 2024-04-15 17:28:55 PM, message: MongoDB connected.
2024-04-15T11:58:56.464Z [INFO]: IND_current_time: 2024-04-15 17:28:56 PM, message: MongoDB connected.
2024-04-15T11:59:13.462Z [INFO]: IND_current_time: 2024-04-15 17:29:13 PM, message: MongoDB connected.
2024-04-15T11:59:32.685Z [INFO]: IND_current_time: 2024-04-15 17:29:32 PM, message: MongoDB connected.
2024-04-15T11:59:35.951Z [INFO]: IND_current_time: 2024-04-15 17:29:35 PM, message: MongoDB connected.
2024-04-15T11:59:35.969Z [INFO]: IND_current_time: 2024-04-15 17:29:35 PM, message: MongoDB connected.
2024-04-15T11:59:40.256Z [INFO]: IND_current_time: 2024-04-15 17:29:40 PM, message: MongoDB connected.
2024-04-15T11:59:40.972Z [INFO]: IND_current_time: 2024-04-15 17:29:40 PM, message: MongoDB connected.
2024-04-15T11:59:45.117Z [INFO]: IND_current_time: 2024-04-15 17:29:45 PM, message: MongoDB connected.
2024-04-15T11:59:49.868Z [INFO]: IND_current_time: 2024-04-15 17:29:49 PM, message: MongoDB connected.
2024-04-15T11:59:57.664Z [INFO]: IND_current_time: 2024-04-15 17:29:57 PM, message: MongoDB connected.
2024-04-15T11:59:57.670Z [INFO]: IND_current_time: 2024-04-15 17:29:57 PM, message: MongoDB connected.
2024-04-15T11:59:59.764Z [INFO]: IND_current_time: 2024-04-15 17:29:59 PM, message: MongoDB connected.
2024-04-15T12:00:11.074Z [INFO]: IND_current_time: 2024-04-15 17:30:11 PM, message: MongoDB connected.
2024-04-15T12:00:12.426Z [ERROR]: IND_current_time: 2024-04-15 17:30:12 PM, message: Main catch error: {} message:Failed to launch the browser process! undefined
[39785:39785:0415/120012.390938:ERROR:zygote_host_impl_linux.cc(100)] Running as root without --no-sandbox is not supported. See https://crbug.com/638180.


TROUBLESHOOTING: https://pptr.dev/troubleshooting

2024-04-15T12:00:44.281Z [INFO]: IND_current_time: 2024-04-15 17:30:44 PM, message: MongoDB connected.
2024-04-15T12:00:44.378Z [ERROR]: IND_current_time: 2024-04-15 17:30:44 PM, message: Main catch error: {} message:Failed to launch the browser process! undefined
[40374:40374:0415/120044.368635:ERROR:zygote_host_impl_linux.cc(100)] Running as root without --no-sandbox is not supported. See https://crbug.com/638180.


TROUBLESHOOTING: https://pptr.dev/troubleshooting

2024-04-15T12:00:48.570Z [INFO]: IND_current_time: 2024-04-15 17:30:48 PM, message: MongoDB connected.
2024-04-15T12:00:48.692Z [ERROR]: IND_current_time: 2024-04-15 17:30:48 PM, message: Main catch error: {} message:Failed to launch the browser process!
[40464:40464:0415/120048.684470:ERROR:zygote_host_impl_linux.cc(100)] Running as root without --no-sandbox is not supported. See https://crbug.com/638180.


TROUBLESHOOTING: https://pptr.dev/troubleshooting

2024-04-15T12:01:35.220Z [INFO]: IND_current_time: 2024-04-15 17:31:35 PM, message: MongoDB connected.
2024-04-15T12:01:35.376Z [INFO]: IND_current_time: 2024-04-15 17:31:35 PM, message: MongoDB connected.
2024-04-15T12:01:38.275Z [INFO]: IND_current_time: 2024-04-15 17:31:38 PM, message: MongoDB connected.
2024-04-15T12:01:38.412Z [INFO]: IND_current_time: 2024-04-15 17:31:38 PM, message: MongoDB connected.
2024-04-15T12:01:44.290Z [INFO]: IND_current_time: 2024-04-15 17:31:44 PM, message: MongoDB connected.
2024-04-15T12:01:45.088Z [INFO]: IND_current_time: 2024-04-15 17:31:45 PM, message: MongoDB connected.
2024-04-15T12:01:45.511Z [INFO]: IND_current_time: 2024-04-15 17:31:45 PM, message: MongoDB connected.
2024-04-15T12:01:47.791Z [INFO]: IND_current_time: 2024-04-15 17:31:47 PM, message: MongoDB connected.
2024-04-15T12:01:48.558Z [INFO]: IND_current_time: 2024-04-15 17:31:48 PM, message: MongoDB connected.
2024-04-15T12:01:53.471Z [INFO]: IND_current_time: 2024-04-15 17:31:53 PM, message: MongoDB connected.
2024-04-15T12:01:53.615Z [ERROR]: IND_current_time: 2024-04-15 17:31:53 PM, message: Main catch error: {} message:Failed to launch the browser process! undefined
[41636:41636:0415/120153.602978:ERROR:zygote_host_impl_linux.cc(100)] Running as root without --no-sandbox is not supported. See https://crbug.com/638180.


TROUBLESHOOTING: https://pptr.dev/troubleshooting

2024-04-15T12:01:54.672Z [INFO]: IND_current_time: 2024-04-15 17:31:54 PM, message: MongoDB connected.
2024-04-15T12:01:54.797Z [INFO]: IND_current_time: 2024-04-15 17:31:54 PM, message: MongoDB connected.
2024-04-15T12:02:09.740Z [INFO]: IND_current_time: 2024-04-15 17:32:09 PM, message: MongoDB connected.
2024-04-15T12:02:14.167Z [INFO]: IND_current_time: 2024-04-15 17:32:14 PM, message: MongoDB connected.
2024-04-15T12:02:14.373Z [INFO]: IND_current_time: 2024-04-15 17:32:14 PM, message: MongoDB connected.
2024-04-15T12:02:44.696Z [INFO]: IND_current_time: 2024-04-15 17:32:44 PM, message: MongoDB connected.
2024-04-15T12:02:58.789Z [INFO]: IND_current_time: 2024-04-15 17:32:58 PM, message: MongoDB connected.
2024-04-15T12:03:13.925Z [INFO]: IND_current_time: 2024-04-15 17:33:13 PM, message: MongoDB connected.
2024-04-15T12:03:14.097Z [INFO]: IND_current_time: 2024-04-15 17:33:14 PM, message: MongoDB connected.
