2024-01-30T09:23:17.517Z [INFO]: IND_current_time: 2024-01-30 14:53:17 PM, message: MongoDB connected.
2024-01-30T09:23:17.525Z [INFO]: IND_current_time: 2024-01-30 14:53:17 PM, message: MongoDB connected.
2024-01-30T09:23:32.257Z [INFO]: IND_current_time: 2024-01-30 14:53:32 PM, message: MongoDB connected.
2024-01-30T09:23:32.268Z [INFO]: IND_current_time: 2024-01-30 14:53:32 PM, message: MongoDB connected.
2024-01-30T09:24:52.362Z [INFO]: IND_current_time: 2024-01-30 14:54:52 PM, message: MongoDB connected.
2024-01-30T09:25:00.679Z [INFO]: IND_current_time: 2024-01-30 14:55:00 PM, message: MongoDB connected.
2024-01-30T09:25:29.657Z [INFO]: IND_current_time: 2024-01-30 14:55:29 PM, message: MongoDB connected.
2024-01-30T09:25:47.157Z [INFO]: IND_current_time: 2024-01-30 14:55:47 PM, message: MongoDB connected.
2024-01-30T09:25:49.900Z [INFO]: IND_current_time: 2024-01-30 14:55:49 PM, message: MongoDB connected.
2024-01-30T09:25:49.951Z [INFO]: IND_current_time: 2024-01-30 14:55:49 PM, message: MongoDB connected.
2024-01-30T09:25:51.085Z [INFO]: IND_current_time: 2024-01-30 14:55:51 PM, message: MongoDB connected.
2024-01-30T09:26:37.654Z [INFO]: IND_current_time: 2024-01-30 14:56:37 PM, message: MongoDB connected.
2024-01-30T09:28:34.170Z [INFO]: IND_current_time: 2024-01-30 14:58:34 PM, message: MongoDB connected.
2024-01-30T09:28:34.186Z [INFO]: IND_current_time: 2024-01-30 14:58:34 PM, message: MongoDB connected.
2024-01-30T09:28:37.877Z [INFO]: IND_current_time: 2024-01-30 14:58:37 PM, message: MongoDB connected.
2024-01-30T09:28:37.901Z [INFO]: IND_current_time: 2024-01-30 14:58:37 PM, message: MongoDB connected.
2024-01-30T09:28:41.497Z [INFO]: IND_current_time: 2024-01-30 14:58:41 PM, message: MongoDB connected.
2024-01-30T09:28:41.510Z [INFO]: IND_current_time: 2024-01-30 14:58:41 PM, message: MongoDB connected.
2024-01-30T09:28:43.920Z [INFO]: IND_current_time: 2024-01-30 14:58:43 PM, message: MongoDB connected.
2024-01-30T09:28:43.930Z [INFO]: IND_current_time: 2024-01-30 14:58:43 PM, message: MongoDB connected.
2024-01-30T09:28:47.314Z [INFO]: IND_current_time: 2024-01-30 14:58:47 PM, message: MongoDB connected.
2024-01-30T09:28:47.330Z [INFO]: IND_current_time: 2024-01-30 14:58:47 PM, message: MongoDB connected.
2024-01-30T09:28:51.879Z [INFO]: IND_current_time: 2024-01-30 14:58:51 PM, message: MongoDB connected.
2024-01-30T09:28:51.887Z [INFO]: IND_current_time: 2024-01-30 14:58:51 PM, message: MongoDB connected.
2024-01-30T09:28:51.956Z [INFO]: IND_current_time: 2024-01-30 14:58:51 PM, message: MongoDB connected.
2024-01-30T09:28:52.964Z [INFO]: IND_current_time: 2024-01-30 14:58:52 PM, message: MongoDB connected.
2024-01-30T09:28:54.540Z [INFO]: IND_current_time: 2024-01-30 14:58:54 PM, message: MongoDB connected.
2024-01-30T09:28:54.559Z [INFO]: IND_current_time: 2024-01-30 14:58:54 PM, message: MongoDB connected.
2024-01-30T09:29:01.563Z [INFO]: IND_current_time: 2024-01-30 14:59:01 PM, message: MongoDB connected.
2024-01-30T09:29:01.577Z [INFO]: IND_current_time: 2024-01-30 14:59:01 PM, message: MongoDB connected.
2024-01-30T09:29:04.837Z [INFO]: IND_current_time: 2024-01-30 14:59:04 PM, message: MongoDB connected.
2024-01-30T09:29:04.853Z [INFO]: IND_current_time: 2024-01-30 14:59:04 PM, message: MongoDB connected.
2024-01-30T09:29:09.427Z [INFO]: IND_current_time: 2024-01-30 14:59:09 PM, message: MongoDB connected.
2024-01-30T09:29:09.450Z [INFO]: IND_current_time: 2024-01-30 14:59:09 PM, message: MongoDB connected.
2024-01-30T09:30:01.440Z [INFO]: IND_current_time: 2024-01-30 15:00:01 PM, message: MongoDB connected.
2024-01-30T09:30:01.599Z [INFO]: IND_current_time: 2024-01-30 15:00:01 PM, message: MongoDB connected.
2024-01-30T09:30:01.673Z [INFO]: IND_current_time: 2024-01-30 15:00:01 PM, message: MongoDB connected.
2024-01-30T09:30:12.133Z [INFO]: IND_current_time: 2024-01-30 15:00:12 PM, message: MongoDB connected.
2024-01-30T09:30:12.223Z [INFO]: IND_current_time: 2024-01-30 15:00:12 PM, message: MongoDB connected.
2024-01-30T09:30:12.263Z [INFO]: IND_current_time: 2024-01-30 15:00:12 PM, message: MongoDB connected.
2024-01-30T09:30:24.321Z [INFO]: IND_current_time: 2024-01-30 15:00:24 PM, message: MongoDB connected.
2024-01-30T09:30:24.348Z [INFO]: IND_current_time: 2024-01-30 15:00:24 PM, message: MongoDB connected.
2024-01-30T09:30:34.846Z [INFO]: IND_current_time: 2024-01-30 15:00:34 PM, message: MongoDB connected.
2024-01-30T09:30:34.854Z [INFO]: IND_current_time: 2024-01-30 15:00:34 PM, message: MongoDB connected.
2024-01-30T09:37:53.996Z [INFO]: IND_current_time: 2024-01-30 15:07:53 PM, message: MongoDB connected.
2024-01-30T09:38:03.336Z [INFO]: IND_current_time: 2024-01-30 15:08:03 PM, message: MongoDB connected.
2024-01-30T09:41:56.318Z [INFO]: IND_current_time: 2024-01-30 15:11:56 PM, message: MongoDB connected.
2024-01-30T09:42:02.918Z [INFO]: IND_current_time: 2024-01-30 15:12:02 PM, message: MongoDB connected.
2024-01-30T09:42:08.512Z [INFO]: IND_current_time: 2024-01-30 15:12:08 PM, message: MongoDB connected.
2024-01-30T09:42:09.033Z [INFO]: IND_current_time: 2024-01-30 15:12:09 PM, message: MongoDB connected.
2024-01-30T09:42:12.871Z [INFO]: IND_current_time: 2024-01-30 15:12:12 PM, message: MongoDB connected.
2024-01-30T09:42:12.887Z [INFO]: IND_current_time: 2024-01-30 15:12:12 PM, message: MongoDB connected.
2024-01-30T09:42:38.230Z [INFO]: IND_current_time: 2024-01-30 15:12:38 PM, message: MongoDB connected.
2024-01-30T09:42:38.238Z [INFO]: IND_current_time: 2024-01-30 15:12:38 PM, message: MongoDB connected.
2024-01-30T09:43:00.230Z [INFO]: IND_current_time: 2024-01-30 15:13:00 PM, message: MongoDB connected.
2024-01-30T09:43:00.281Z [INFO]: IND_current_time: 2024-01-30 15:13:00 PM, message: MongoDB connected.
2024-01-30T09:43:04.403Z [INFO]: IND_current_time: 2024-01-30 15:13:04 PM, message: MongoDB connected.
2024-01-30T09:43:06.974Z [INFO]: IND_current_time: 2024-01-30 15:13:06 PM, message: MongoDB connected.
2024-01-30T09:43:06.999Z [INFO]: IND_current_time: 2024-01-30 15:13:06 PM, message: MongoDB connected.
2024-01-30T09:44:06.894Z [INFO]: IND_current_time: 2024-01-30 15:14:06 PM, message: MongoDB connected.
2024-01-30T09:44:13.499Z [INFO]: IND_current_time: 2024-01-30 15:14:13 PM, message: MongoDB connected.
2024-01-30T09:44:42.013Z [INFO]: IND_current_time: 2024-01-30 15:14:42 PM, message: MongoDB connected.
2024-01-30T09:44:44.746Z [INFO]: IND_current_time: 2024-01-30 15:14:44 PM, message: MongoDB connected.
2024-01-30T09:44:51.044Z [INFO]: IND_current_time: 2024-01-30 15:14:51 PM, message: MongoDB connected.
2024-01-30T09:44:54.271Z [INFO]: IND_current_time: 2024-01-30 15:14:54 PM, message: MongoDB connected.
2024-01-30T09:45:00.011Z [INFO]: IND_current_time: 2024-01-30 15:15:00 PM, message: MongoDB connected.
2024-01-30T09:45:02.921Z [INFO]: IND_current_time: 2024-01-30 15:15:02 PM, message: MongoDB connected.
2024-01-30T09:45:07.099Z [INFO]: IND_current_time: 2024-01-30 15:15:07 PM, message: MongoDB connected.
2024-01-30T09:45:07.116Z [INFO]: IND_current_time: 2024-01-30 15:15:07 PM, message: MongoDB connected.
2024-01-30T09:46:01.585Z [INFO]: IND_current_time: 2024-01-30 15:16:01 PM, message: MongoDB connected.
2024-01-30T09:46:06.162Z [INFO]: IND_current_time: 2024-01-30 15:16:06 PM, message: MongoDB connected.
2024-01-30T09:47:12.196Z [INFO]: IND_current_time: 2024-01-30 15:17:12 PM, message: MongoDB connected.
2024-01-30T09:47:17.405Z [INFO]: IND_current_time: 2024-01-30 15:17:17 PM, message: MongoDB connected.
2024-01-30T09:47:25.891Z [INFO]: IND_current_time: 2024-01-30 15:17:25 PM, message: MongoDB connected.
2024-01-30T09:47:30.800Z [INFO]: IND_current_time: 2024-01-30 15:17:30 PM, message: MongoDB connected.
2024-01-30T09:48:14.304Z [INFO]: IND_current_time: 2024-01-30 15:18:14 PM, message: MongoDB connected.
2024-01-30T09:48:31.203Z [INFO]: IND_current_time: 2024-01-30 15:18:31 PM, message: MongoDB connected.
2024-01-30T09:48:35.140Z [INFO]: IND_current_time: 2024-01-30 15:18:35 PM, message: MongoDB connected.
2024-01-30T09:48:35.164Z [INFO]: IND_current_time: 2024-01-30 15:18:35 PM, message: MongoDB connected.
2024-01-30T09:48:36.032Z [INFO]: IND_current_time: 2024-01-30 15:18:36 PM, message: MongoDB connected.
2024-01-30T09:49:07.726Z [INFO]: IND_current_time: 2024-01-30 15:19:07 PM, message: MongoDB connected.
2024-01-30T09:49:42.570Z [ERROR]: IND_current_time: 2024-01-30 15:19:42 PM, message: Main catch error: {"name":"TimeoutError"} message:Timed out after waiting 30000ms
2024-01-30T09:50:43.674Z [INFO]: IND_current_time: 2024-01-30 15:20:43 PM, message: MongoDB connected.
2024-01-30T09:50:46.062Z [INFO]: IND_current_time: 2024-01-30 15:20:46 PM, message: MongoDB connected.
2024-01-30T09:50:52.788Z [INFO]: IND_current_time: 2024-01-30 15:20:52 PM, message: MongoDB connected.
2024-01-30T09:50:52.813Z [INFO]: IND_current_time: 2024-01-30 15:20:52 PM, message: MongoDB connected.
2024-01-30T09:50:52.820Z [INFO]: IND_current_time: 2024-01-30 15:20:52 PM, message: MongoDB connected.
2024-01-30T09:53:00.203Z [INFO]: IND_current_time: 2024-01-30 15:23:00 PM, message: MongoDB connected.
2024-01-30T09:53:00.224Z [INFO]: IND_current_time: 2024-01-30 15:23:00 PM, message: MongoDB connected.
2024-01-30T09:53:00.253Z [INFO]: IND_current_time: 2024-01-30 15:23:00 PM, message: MongoDB connected.
2024-01-30T09:57:33.993Z [INFO]: IND_current_time: 2024-01-30 15:27:33 PM, message: MongoDB connected.
2024-01-30T09:57:33.995Z [INFO]: IND_current_time: 2024-01-30 15:27:33 PM, message: MongoDB connected.
2024-01-30T09:57:34.033Z [INFO]: IND_current_time: 2024-01-30 15:27:34 PM, message: MongoDB connected.
2024-01-30T09:57:34.122Z [INFO]: IND_current_time: 2024-01-30 15:27:34 PM, message: MongoDB connected.
2024-01-30T09:57:34.196Z [INFO]: IND_current_time: 2024-01-30 15:27:34 PM, message: MongoDB connected.
2024-01-30T09:57:34.373Z [INFO]: IND_current_time: 2024-01-30 15:27:34 PM, message: MongoDB connected.
2024-01-30T09:59:38.408Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.436Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.437Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.474Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.501Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.541Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.582Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.615Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.669Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.690Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:38.771Z [INFO]: IND_current_time: 2024-01-30 15:29:38 PM, message: MongoDB connected.
2024-01-30T09:59:39.581Z [INFO]: IND_current_time: 2024-01-30 15:29:39 PM, message: MongoDB connected.
2024-01-30T10:00:06.269Z [INFO]: IND_current_time: 2024-01-30 15:30:06 PM, message: MongoDB connected.
2024-01-30T10:00:12.590Z [INFO]: IND_current_time: 2024-01-30 15:30:12 PM, message: MongoDB connected.
2024-01-30T10:00:12.643Z [INFO]: IND_current_time: 2024-01-30 15:30:12 PM, message: MongoDB connected.
2024-01-30T10:00:12.653Z [INFO]: IND_current_time: 2024-01-30 15:30:12 PM, message: MongoDB connected.
