2024-04-16T03:25:04.680Z [INFO]: IND_current_time: 2024-04-16 08:55:04 AM, message: MongoDB connected.
2024-04-16T03:25:08.035Z [INFO]: IND_current_time: 2024-04-16 08:55:08 AM, message: MongoDB connected.
2024-04-16T05:34:16.731Z [INFO]: IND_current_time: 2024-04-16 11:04:16 AM, message: MongoDB connected.
2024-04-16T05:34:17.291Z [INFO]: IND_current_time: 2024-04-16 11:04:17 AM, message: MongoDB connected.
2024-04-16T05:34:17.710Z [INFO]: IND_current_time: 2024-04-16 11:04:17 AM, message: MongoDB connected.
2024-04-16T05:35:19.364Z [INFO]: IND_current_time: 2024-04-16 11:05:19 AM, message: MongoDB connected.
2024-04-16T05:35:23.600Z [INFO]: IND_current_time: 2024-04-16 11:05:23 AM, message: MongoDB connected.
2024-04-16T05:35:29.676Z [INFO]: IND_current_time: 2024-04-16 11:05:29 AM, message: MongoDB connected.
2024-04-16T05:35:34.201Z [INFO]: IND_current_time: 2024-04-16 11:05:34 AM, message: MongoDB connected.
2024-04-16T05:35:37.406Z [INFO]: IND_current_time: 2024-04-16 11:05:37 AM, message: MongoDB connected.
2024-04-16T05:35:43.667Z [INFO]: IND_current_time: 2024-04-16 11:05:43 AM, message: MongoDB connected.
2024-04-16T05:35:58.967Z [INFO]: IND_current_time: 2024-04-16 11:05:58 AM, message: MongoDB connected.
2024-04-16T05:36:07.094Z [INFO]: IND_current_time: 2024-04-16 11:06:07 AM, message: MongoDB connected.
2024-04-16T05:36:21.166Z [INFO]: IND_current_time: 2024-04-16 11:06:21 AM, message: MongoDB connected.
2024-04-16T05:36:21.338Z [INFO]: IND_current_time: 2024-04-16 11:06:21 AM, message: MongoDB connected.
2024-04-16T05:36:26.399Z [INFO]: IND_current_time: 2024-04-16 11:06:26 AM, message: MongoDB connected.
2024-04-16T05:36:28.254Z [INFO]: IND_current_time: 2024-04-16 11:06:28 AM, message: MongoDB connected.
2024-04-16T05:36:29.273Z [INFO]: IND_current_time: 2024-04-16 11:06:29 AM, message: PDF generated successfully.
