2024-04-02T03:30:11.216Z [INFO]: IND_current_time: 2024-04-02 09:00:11 AM, message: MongoDB connected.
2024-04-02T12:46:18.507Z [INFO]: IND_current_time: 2024-04-02 18:16:18 PM, message: MongoDB connected.
2024-04-02T12:46:32.838Z [INFO]: IND_current_time: 2024-04-02 18:16:32 PM, message: MongoDB connected.
2024-04-02T12:46:36.641Z [INFO]: IND_current_time: 2024-04-02 18:16:36 PM, message: MongoDB connected.
2024-04-02T12:46:51.259Z [INFO]: IND_current_time: 2024-04-02 18:16:51 PM, message: MongoDB connected.
2024-04-02T12:47:04.958Z [INFO]: IND_current_time: 2024-04-02 18:17:04 PM, message: MongoDB connected.
2024-04-02T12:47:06.677Z [INFO]: IND_current_time: 2024-04-02 18:17:06 PM, message: MongoDB connected.
2024-04-02T12:47:08.439Z [INFO]: IND_current_time: 2024-04-02 18:17:08 PM, message: MongoDB connected.
2024-04-02T12:47:23.168Z [INFO]: IND_current_time: 2024-04-02 18:17:23 PM, message: MongoDB connected.
2024-04-02T12:47:26.725Z [INFO]: IND_current_time: 2024-04-02 18:17:26 PM, message: MongoDB connected.
2024-04-02T12:47:29.968Z [INFO]: IND_current_time: 2024-04-02 18:17:29 PM, message: MongoDB connected.
2024-04-02T12:48:14.985Z [INFO]: IND_current_time: 2024-04-02 18:18:14 PM, message: MongoDB connected.
2024-04-02T12:48:30.813Z [INFO]: IND_current_time: 2024-04-02 18:18:30 PM, message: MongoDB connected.
2024-04-02T12:48:30.852Z [INFO]: IND_current_time: 2024-04-02 18:18:30 PM, message: MongoDB connected.
2024-04-02T12:48:34.665Z [INFO]: IND_current_time: 2024-04-02 18:18:34 PM, message: MongoDB connected.
2024-04-02T12:48:36.944Z [INFO]: IND_current_time: 2024-04-02 18:18:36 PM, message: MongoDB connected.
2024-04-02T12:48:42.251Z [INFO]: IND_current_time: 2024-04-02 18:18:42 PM, message: MongoDB connected.
2024-04-02T12:48:54.550Z [INFO]: IND_current_time: 2024-04-02 18:18:54 PM, message: MongoDB connected.
2024-04-02T12:51:28.657Z [INFO]: IND_current_time: 2024-04-02 18:21:28 PM, message: MongoDB connected.
2024-04-02T12:51:44.626Z [INFO]: IND_current_time: 2024-04-02 18:21:44 PM, message: MongoDB connected.
2024-04-02T12:51:46.787Z [INFO]: IND_current_time: 2024-04-02 18:21:46 PM, message: MongoDB connected.
2024-04-02T12:51:49.493Z [INFO]: IND_current_time: 2024-04-02 18:21:49 PM, message: MongoDB connected.
2024-04-02T12:53:05.655Z [INFO]: IND_current_time: 2024-04-02 18:23:05 PM, message: MongoDB connected.
2024-04-02T12:53:17.557Z [INFO]: IND_current_time: 2024-04-02 18:23:17 PM, message: MongoDB connected.
2024-04-02T12:53:35.356Z [INFO]: IND_current_time: 2024-04-02 18:23:35 PM, message: MongoDB connected.
2024-04-02T12:54:35.256Z [INFO]: IND_current_time: 2024-04-02 18:24:35 PM, message: MongoDB connected.
2024-04-02T12:54:41.921Z [INFO]: IND_current_time: 2024-04-02 18:24:41 PM, message: MongoDB connected.
2024-04-02T12:55:00.985Z [INFO]: IND_current_time: 2024-04-02 18:25:00 PM, message: MongoDB connected.
2024-04-02T12:55:01.032Z [INFO]: IND_current_time: 2024-04-02 18:25:01 PM, message: MongoDB connected.
2024-04-02T12:55:34.958Z [INFO]: IND_current_time: 2024-04-02 18:25:34 PM, message: MongoDB connected.
2024-04-02T12:55:35.038Z [INFO]: IND_current_time: 2024-04-02 18:25:35 PM, message: MongoDB connected.
2024-04-02T12:55:54.487Z [INFO]: IND_current_time: 2024-04-02 18:25:54 PM, message: MongoDB connected.
2024-04-02T12:55:55.574Z [INFO]: IND_current_time: 2024-04-02 18:25:55 PM, message: PDF generated successfully.
2024-04-02T12:55:55.600Z [INFO]: IND_current_time: 2024-04-02 18:25:55 PM, message: MongoDB connected.
2024-04-02T12:56:01.427Z [INFO]: IND_current_time: 2024-04-02 18:26:01 PM, message: MongoDB connected.
2024-04-02T12:57:30.179Z [INFO]: IND_current_time: 2024-04-02 18:27:30 PM, message: MongoDB connected.
2024-04-02T12:57:34.610Z [INFO]: IND_current_time: 2024-04-02 18:27:34 PM, message: MongoDB connected.
2024-04-02T12:57:36.770Z [INFO]: IND_current_time: 2024-04-02 18:27:36 PM, message: MongoDB connected.
2024-04-02T12:57:39.878Z [INFO]: IND_current_time: 2024-04-02 18:27:39 PM, message: MongoDB connected.
2024-04-02T12:57:41.820Z [INFO]: IND_current_time: 2024-04-02 18:27:41 PM, message: MongoDB connected.
2024-04-02T12:57:45.477Z [INFO]: IND_current_time: 2024-04-02 18:27:45 PM, message: MongoDB connected.
2024-04-02T12:57:49.641Z [INFO]: IND_current_time: 2024-04-02 18:27:49 PM, message: MongoDB connected.
2024-04-02T12:58:07.077Z [INFO]: IND_current_time: 2024-04-02 18:28:07 PM, message: MongoDB connected.
